,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.147,0.12,0.141,0.207,
Total Unusual Items,,,-5000000.0,-76000000.0,-1499000000.0
Total Unusual Items Excluding Goodwill,,,-5000000.0,-76000000.0,-1499000000.0
Net Income From Continuing Operation Net Minority Interest,19722000000.0,19142000000.0,13677000000.0,22109000000.0,
Reconciled Depreciation,7558000000.0,6271000000.0,6832000000.0,7890000000.0,
Net Interest Income,47676000000.0,52375000000.0,44950000000.0,35779000000.0,
Interest Expense,43101000000.0,32743000000.0,9074000000.0,3915000000.0,
Interest Income,90777000000.0,85118000000.0,54024000000.0,39694000000.0,
Normalized Income,19722000000.0,19142000000.0,13677000000.0,22109000000.0,
Net Income From Continuing And Discontinued Operation,19722000000.0,19142000000.0,13677000000.0,22109000000.0,
Rent Expense Supplemental,633000000.0,697000000.0,750000000.0,,
Diluted Average Shares,,3720400000.0,3837000000.0,4096200000.0,4134200000.0
Basic Average Shares,,3688300000.0,3805200000.0,4061900000.0,4118000000.0
Diluted EPS,,4.83,3.27,5.08,0.43
Basic EPS,,4.88,3.3,5.13,0.43
Diluted NI Availto Com Stockholders,18606000000.0,17982000000.0,12562000000.0,20818000000.0,
Net Income Common Stockholders,18606000000.0,17982000000.0,12562000000.0,20818000000.0,
Preferred Stock Dividends,1116000000.0,1160000000.0,1115000000.0,1291000000.0,
Net Income,19722000000.0,19142000000.0,13677000000.0,22109000000.0,
Minority Interests,-243000000.0,113000000.0,299000000.0,-1690000000.0,
Net Income Including Noncontrolling Interests,19965000000.0,19029000000.0,13378000000.0,23799000000.0,
Net Income Continuous Operations,19965000000.0,19029000000.0,13378000000.0,23799000000.0,
Tax Provision,3399000000.0,2607000000.0,2251000000.0,5764000000.0,
Pretax Income,23364000000.0,21636000000.0,15629000000.0,29563000000.0,
Special Income Charges,,,-5000000.0,-76000000.0,-1499000000.0
Other Special Charges,,,,,-71000000.0
Restructuring And Mergern Acquisition,,,5000000.0,76000000.0,1499000000.0
Gain On Sale Of Security,0.0,0.0,0.0,0.0,
Selling General And Administration,37231000000.0,37338000000.0,35595000000.0,36141000000.0,
Selling And Marketing Expense,869000000.0,812000000.0,505000000.0,600000000.0,
General And Administrative Expense,36362000000.0,36526000000.0,35090000000.0,35541000000.0,
Rent And Landing Fees,633000000.0,697000000.0,750000000.0,,
Salaries And Wages,35729000000.0,35829000000.0,34340000000.0,35541000000.0,
Total Revenue,82296000000.0,82597000000.0,74368000000.0,79166000000.0,
Operating Revenue,82296000000.0,82597000000.0,74368000000.0,79166000000.0,
Occupancy And Equipment,7635000000.0,6804000000.0,6256000000.0,6195000000.0,
Professional Expense And Contract Services Expense,4607000000.0,5085000000.0,5188000000.0,5723000000.0,
Other Non Interest Expense,5125000000.0,6335000000.0,10166000000.0,5699000000.0,
