取引日,取引種別,商品,限月,ダミー,始値,高値,安値,終値,帳入値,出来高,取組高
20250106,61,51,202502,,25700,25700,25400,25400,25400,20,77
20250106,61,51,202504,,25720,25720,25250,25550,25550,17,27
20250106,61,51,202506,,,,,,26290,0,14
20250106,61,51,202508,,25770,25770,25770,25770,25770,1,16
20250106,61,51,202510,,24100,24100,24000,24000,24000,6,17
20250106,61,51,202512,,,,,,24000,0,0
20250107,61,51,202502,,25390,25390,24380,24900,24900,83,53
20250107,61,51,202504,,25370,25370,25220,25220,25220,37,26
20250107,61,51,202506,,25760,25760,25760,25760,25760,1,15
20250107,61,51,202508,,25700,25700,25250,25250,25250,25,19
20250107,61,51,202510,,23520,23520,23520,23520,23520,2,15
20250107,61,51,202512,,,,,,24000,0,0
20250108,61,51,202502,,25000,25190,25000,25190,25190,39,53
20250108,61,51,202504,,25200,25210,25200,25210,25210,19,25
20250108,61,51,202506,,25150,25170,25150,25170,25170,20,13
20250108,61,51,202508,,25000,25050,25000,25000,25000,17,19
20250108,61,51,202510,,23520,23900,23520,23900,23900,2,15
20250108,61,51,202512,,,,,,24000,0,0
20250109,61,51,202502,,25200,25400,25200,25400,25400,41,53
20250109,61,51,202504,,25150,25300,25150,25300,25300,38,26
20250109,61,51,202506,,25190,25200,25190,25200,25200,16,13
20250109,61,51,202508,,25230,25230,25230,25230,25230,1,19
20250109,61,51,202510,,24350,24350,24350,24350,24350,1,16
20250109,61,51,202512,,,,,,24000,0,0
20250110,61,51,202502,,25450,25490,25370,25370,25370,64,53
20250110,61,51,202504,,25370,25370,25360,25360,25360,20,26
20250110,61,51,202506,,25220,25300,25190,25300,25300,20,13
20250110,61,51,202508,,25180,25180,25160,25160,25160,16,19
20250110,61,51,202510,,,,,,24350,0,16
20250110,61,51,202512,,,,,,24000,0,0
20250114,61,51,202502,,25360,25360,25300,25300,25300,39,53
20250114,61,51,202504,,25280,25280,25270,25270,25270,19,25
20250114,61,51,202506,,25270,25270,25230,25230,25230,19,13
20250114,61,51,202508,,25200,25200,25190,25190,25190,19,20
20250114,61,51,202510,,,,,,24350,0,16
20250114,61,51,202512,,,,,,24000,0,0
20250115,61,51,202502,,25480,25480,25350,25400,25400,40,53
