取引月,商品,出来高
202401,10,0
202401,70,0
202401,75,0
202401,91,168102
202401,93,51
202401,95,5937
202402,10,0
202402,70,0
202402,75,0
202402,91,195318
202402,93,92
202402,95,8340
202403,10,0
202403,70,0
202403,75,0
202403,91,202922
202403,93,1103
202403,95,5931
202404,10,0
202404,70,0
202404,75,0
202404,91,233649
202404,93,3595
202404,95,2086
202405,10,0
202405,70,0
202405,75,0
202405,91,195310
202405,93,2036
202405,95,6167
202406,10,0
202406,70,0
202406,75,0
202406,91,151007
202406,93,1084
202406,95,5606
202407,10,0
202407,70,0
202407,75,0
202407,91,272853
202407,93,2126
202407,95,4597
202408,10,0
202408,51,111
202408,70,0
202408,75,0
202408,91,171600
202408,93,1219
202408,95,3397
202409,10,0
202409,51,244
202409,70,0
202409,75,0
202409,91,202174
202409,93,1269
202409,95,749
202410,10,0
202410,51,70
202410,70,0
202410,75,0
202410,91,262218
202410,93,1971
202410,95,8329
202411,10,0
202411,51,83
202411,70,0
202411,75,0
202411,91,213223
202411,93,737
202411,95,5183
202412,10,0
202412,51,851
202412,70,0
202412,75,0
202412,91,159683
202412,93,199
202412,95,711
